"Bibliotheks ID","laufend geführte Zeitungen/Zeitschriften gedruckt","laufend geführte Zeitungen/Zeitschriften elektronisch"
1,11657,14334
2,700,0
3,3898,0
4,1700,4000
5,2435,19
6,1605,5319
7,1200,0
8,1932,20257
9,201,49
10,1098,24425
11,303,22
12,5294,22698
13,2627,26695
14,0,0
15,392,4050
16,0,0
17,246,1240
18,4588,21502
19,9,4125
20,856,4250
21,411,945
22,1155,3650
23,260,53
24,8846,36035
25,480,3975
26,997,19749
27,165,4730
28,251,21037
29,169,2842
30,87,2537
31,408,6443
32,158,3084
33,160,6895
34,64,15509
35,81,0
36,165,3
37,197,0
38,215,156
39,155,1
40,112,0
41,89,0
42,116,0
43,169,0
44,1020,0
45,79,0
46,540,762
47,0,0
48,37,0
49,47,1
50,12,2
51,368,0
52,6500,80
53,84,0
54,0,0
55,2516,225
56,850,0
57,184,0
58,425,3
59,281,45
60,340,0
61,158,0
62,1600,0
63,207,11
64,150,1900
65,146,25
66,99,4982
67,200,0
68,1001,5
69,84,100
70,67,260
71,39,12
72,850,0
73,52,0
74,120,6
75,34,0
76,0,0
